version,metric,angle,noise,value
v1,distance,0.0,0.0,1.753961319113566
v1,distance,0.0,0.05,1.7746872761019916
v1,distance,0.0,0.1,1.886494614344646
v1,distance,0.0,0.15,2.0509391482643466
v1,distance,0.0,0.2,2.2622343744088655
v1,distance,0.0,0.25,2.531452563989377
v1,distance,45.0,0.0,1.395895588209527
v1,distance,45.0,0.05,1.4160005175988535
v1,distance,45.0,0.1,1.4761298569943724
v1,distance,45.0,0.15,1.6007136748121062
v1,distance,45.0,0.2,1.799537947114586
v1,distance,45.0,0.25,2.053481922375398
v1,distance,90.0,0.0,1.1925289817686382
v1,distance,90.0,0.05,1.2380057368780626
v1,distance,90.0,0.1,1.3256794050905258
v1,distance,90.0,0.15,1.4621014865439392
v1,distance,90.0,0.2,1.664535635767925
v1,distance,90.0,0.25,1.924553751404276
v1,distance,135.0,0.0,1.390060302062153
v1,distance,135.0,0.05,1.44605509501936
v1,distance,135.0,0.1,1.5420515000521853
v1,distance,135.0,0.15,1.6854895479040588
v1,distance,135.0,0.2,1.9144943967253616
v1,distance,135.0,0.25,2.197372153551848
v1,distance,180.0,0.0,1.7506645255506355
v1,distance,180.0,0.05,1.8050063698082985
v1,distance,180.0,0.1,1.9513270306040873
v1,distance,180.0,0.15,2.1799255133376736
v1,distance,180.0,0.2,2.4731308092245916
v1,distance,180.0,0.25,2.830704232253841
v1,distance,225.0,0.0,2.1964840790751374
v1,distance,225.0,0.05,2.362229632540702
v1,distance,225.0,0.1,2.579734529186411
v1,distance,225.0,0.15,2.8478226014472083
v1,distance,225.0,0.2,3.1551816312900582
v1,distance,225.0,0.25,3.5152180560203345
v1,distance,270.0,0.0,2.502350101234428
v1,distance,270.0,0.05,2.6382017177578025
v1,distance,270.0,0.1,2.8330244182884594
v1,distance,270.0,0.15,3.078526643676768
v1,distance,270.0,0.2,3.3583606505957504
v1,distance,270.0,0.25,3.714701430936151
v1,distance,315.0,0.0,2.1731297583172857
v1,distance,315.0,0.05,2.283993151984127
v1,distance,315.0,0.1,2.451917561423388
v1,distance,315.0,0.15,2.667748033127673
v1,distance,315.0,0.2,2.928595661146236
v1,distance,315.0,0.25,3.2398338120022054
v1,angle,0.0,0.0,23.019782455858543
v1,angle,0.0,0.05,37.330933740709746
v1,angle,0.0,0.1,49.97435017860805
v1,angle,0.0,0.15,58.294252694260734
v1,angle,0.0,0.2,64.4770544432749
v1,angle,0.0,0.25,69.53679458094169
v1,angle,45.0,0.0,38.34095271431915
v1,angle,45.0,0.05,37.78331072518087
v1,angle,45.0,0.1,37.783648793954754
v1,angle,45.0,0.15,41.48000618521875
v1,angle,45.0,0.2,47.7651956371883
v1,angle,45.0,0.25,53.70161832817098
v1,angle,90.0,0.0,27.985395170012062
v1,angle,90.0,0.05,28.22894471781418
v1,angle,90.0,0.1,28.548915145996595
v1,angle,90.0,0.15,29.116099659531347
v1,angle,90.0,0.2,31.329053490300147
v1,angle,90.0,0.25,35.0914376285857
v1,angle,135.0,0.0,8.744405863426193
v1,angle,135.0,0.05,9.324995163829533
v1,angle,135.0,0.1,11.163609341352903
v1,angle,135.0,0.15,13.911361324825213
v1,angle,135.0,0.2,17.41632366844245
v1,angle,135.0,0.25,21.327035040942988
v1,angle,180.0,0.0,16.95480558475115
v1,angle,180.0,0.05,18.882571298886045
v1,angle,180.0,0.1,22.14271928275079
v1,angle,180.0,0.15,26.05748906095652
v1,angle,180.0,0.2,30.13301001227759
v1,angle,180.0,0.25,34.61096663040748
v1,angle,225.0,0.0,47.55305988155499
v1,angle,225.0,0.05,49.703467076576175
v1,angle,225.0,0.1,52.1240285778815
v1,angle,225.0,0.15,55.14432845341404
v1,angle,225.0,0.2,58.642055231065505
v1,angle,225.0,0.25,62.386299318590986
v1,angle,270.0,0.0,69.54076925307156
v1,angle,270.0,0.05,72.02897145309258
v1,angle,270.0,0.1,75.20748796330672
v1,angle,270.0,0.15,79.07164880955966
v1,angle,270.0,0.2,83.18814437293427
v1,angle,270.0,0.25,87.84982861503738
v1,angle,315.0,0.0,71.68691683065039
v1,angle,315.0,0.05,76.62335860566411
v1,angle,315.0,0.1,82.76268318002082
v1,angle,315.0,0.15,89.57632472296369
v1,angle,315.0,0.2,95.27602353284827
v1,angle,315.0,0.25,98.73399153036868
v1,length,0.0,0.0,41.882284963112724
v1,length,0.0,0.05,73.54987520941624
v1,length,0.0,0.1,130.34881209087067
v1,length,0.0,0.15,191.0018541124277
v1,length,0.0,0.2,252.5346938268982
v1,length,0.0,0.25,314.33819726286356
v1,length,45.0,0.0,33.32014023598581
v1,length,45.0,0.05,69.20151368550431
v1,length,45.0,0.1,128.29656628184853
v1,length,45.0,0.15,189.7138467469095
v1,length,45.0,0.2,251.73099771556733
v1,length,45.0,0.25,313.87596743845205
v1,length,90.0,0.0,28.414650033743214
v1,length,90.0,0.05,67.3588836476059
v1,length,90.0,0.1,127.31865737983377
v1,length,90.0,0.15,188.92821811929483
v1,length,90.0,0.2,251.08981779291724
v1,length,90.0,0.25,313.34926369667255
v1,length,135.0,0.0,33.076115266172074
v1,length,135.0,0.05,69.349210901595
v1,length,135.0,0.1,128.2564151596882
v1,length,135.0,0.15,189.45134964651558
v1,length,135.0,0.2,251.30893660909007
v1,length,135.0,0.25,313.3472483618549
v1,length,180.0,0.0,41.713662973376096
v1,length,180.0,0.05,73.92080670375498
v1,length,180.0,0.1,130.37828202348965
v1,length,180.0,0.15,190.51352767020325
v1,length,180.0,0.2,251.72667320348037
v1,length,180.0,0.25,313.36018054542774
v1,length,225.0,0.0,48.01086515968643
v1,length,225.0,0.05,77.0625558534937
v1,length,225.0,0.1,131.7332915264185
v1,length,225.0,0.15,191.2444154169289
v1,length,225.0,0.2,252.17584664184028
v1,length,225.0,0.25,313.4268715391306
v1,length,270.0,0.0,49.996112599278746
v1,length,270.0,0.05,78.18210218117471
v1,length,270.0,0.1,132.36773453155314
v1,length,270.0,0.15,191.79812823805727
v1,length,270.0,0.2,252.32923512328432
v1,length,270.0,0.25,313.6643506995845
v1,length,315.0,0.0,48.35250365128847
v1,length,315.0,0.05,77.21389966202605
v1,length,315.0,0.1,131.971051785949
v1,length,315.0,0.15,191.61340586071128
v1,length,315.0,0.2,252.6339524241535
v1,length,315.0,0.25,314.1068114419365
v2,distance,0.0,0.0,0.9062718121752981
v2,distance,0.0,0.05,0.931665170984238
v2,distance,0.0,0.1,0.9881235699988321
v2,distance,0.0,0.15,1.0733511560606916
v2,distance,0.0,0.2,1.1884014389148945
v2,distance,0.0,0.25,1.3266763437052733
v2,distance,45.0,0.0,0.7178847612865289
v2,distance,45.0,0.05,0.7445041460733205
v2,distance,45.0,0.1,0.8129834812551338
v2,distance,45.0,0.15,0.9165960776913235
v2,distance,45.0,0.2,1.054908135576065
v2,distance,45.0,0.25,1.2163161308141495
v2,distance,90.0,0.0,0.6120972106562262
v2,distance,90.0,0.05,0.657412005572415
v2,distance,90.0,0.1,0.7448160014895846
v2,distance,90.0,0.15,0.874022778735723
v2,distance,90.0,0.2,1.0302229340514475
v2,distance,90.0,0.25,1.2032663827761074
v2,distance,135.0,0.0,0.7185391369942667
v2,distance,135.0,0.05,0.7698856782250616
v2,distance,135.0,0.1,0.8621631330842957
v2,distance,135.0,0.15,0.9868911199981504
v2,distance,135.0,0.2,1.1367123474964733
v2,distance,135.0,0.25,1.3044025755424389
v2,distance,180.0,0.0,0.907612903871548
v2,distance,180.0,0.05,0.9567791821124139
v2,distance,180.0,0.1,1.0423149852965892
v2,distance,180.0,0.15,1.1575878114777902
v2,distance,180.0,0.2,1.2918558927671346
v2,distance,180.0,0.25,1.4478793347227457
v2,distance,225.0,0.0,1.0561948917982935
v2,distance,225.0,0.05,1.0995494894287057
v2,distance,225.0,0.1,1.1765713285988804
v2,distance,225.0,0.15,1.2787503691766082
v2,distance,225.0,0.2,1.4055150948722244
v2,distance,225.0,0.25,1.547031280993966
v2,distance,270.0,0.0,1.1088364135785371
v2,distance,270.0,0.05,1.146304150023275
v2,distance,270.0,0.1,1.213321313293437
v2,distance,270.0,0.15,1.3080583986537364
v2,distance,270.0,0.2,1.424355886313128
v2,distance,270.0,0.25,1.562315697361099
v2,distance,315.0,0.0,1.0538286180961407
v2,distance,315.0,0.05,1.083544812303925
v2,distance,315.0,0.1,1.1433525165361484
v2,distance,315.0,0.15,1.2291737140991736
v2,distance,315.0,0.2,1.341116174733934
v2,distance,315.0,0.25,1.474527459653846
v2,angle,0.0,0.0,6.03240161532717
v2,angle,0.0,0.05,7.208166461096678
v2,angle,0.0,0.1,12.355086563585122
v2,angle,0.0,0.15,18.553543005283583
v2,angle,0.0,0.2,25.9443556457262
v2,angle,0.0,0.25,31.91524532160242
v2,angle,45.0,0.0,15.733286758246484
v2,angle,45.0,0.05,16.54274418713822
v2,angle,45.0,0.1,18.168116279828695
v2,angle,45.0,0.15,20.948634309472613
v2,angle,45.0,0.2,24.711539902936995
v2,angle,45.0,0.25,29.3595416082784
v2,angle,90.0,0.0,16.264645593810457
v2,angle,90.0,0.05,16.861490239048504
v2,angle,90.0,0.1,17.372253978449923
v2,angle,90.0,0.15,18.78184807133337
v2,angle,90.0,0.2,21.264339397371934
v2,angle,90.0,0.25,24.686504004409944
v2,angle,135.0,0.0,6.280998047344992
